fixed-acidity,volatileacidity,citric-acid,residual sugar,cholorides,freesulphurdioxide,totalsulphurdioxide,density,ph,sulphate,alcohol,quality
7.38,0.4,0.89,0.8,0.38,0.2,0.29,0.35,0.8,0.2,0.21,1
3.48,0.6,0.35,0.8,0.67,0.5,0.21,0.36,3,0.1,0.29,1
4.78,0.4,0.38,0.9,0.45,0.7,0.36,0.38,3,0.9,0.28,1
9.6,0.2,0.21,0.4,0.89,0.9,0.39,0.28,0.9,0.8,0.38,1
7.58,0.1,0.29,0.6,0.35,0.5,0.48,0.38,0.2,0.8,0.67,1
7.35,0.9,0.28,0.6,0.29,0.4,0.38,0.67,0.5,0.9,0.45,1
7.67,0.8,0.38,0.4,0.21,0.2,0.21,0.45,0.7,0.4,0.89,1
7.92,0.8,0.67,0.9,0.28,0.9,0.34,0.89,0.9,0.6,0.35,1
7.02,0.9,0.45,0.8,0.38,0.2,0.29,0.35,0.5,0.2,0.36,1
9,0.4,0.89,0.8,0.67,0.5,0.21,0.28,0.9,0.2,0.38,1
6.89,0.6,0.35,0.9,0.45,0.7,0.36,0.38,0.2,0.9,0.28,1
5.98,0.6,0.29,0.4,0.89,0.9,0.39,0.67,0.5,0.8,0.38,1
7.38,0.4,0.21,0.6,0.35,0.5,0.48,0.45,0.7,0.8,0.67,1
3.48,0.8,0.36,0.6,0.29,0.4,0.38,0.89,0.9,0.9,0.45,1
4.78,0.8,0.39,0.4,0.21,0.2,0.21,0.35,0.5,0.4,0.89,1
9.6,0.8,0.48,0.9,0.45,0.7,0.36,0.29,0.4,0.6,0.35,1
7.58,0.9,0.34,0.4,0.89,0.9,0.39,0.67,0.6,0.9,0.28,1
7.35,0.2,0.29,0.6,0.35,0.5,0.48,0.45,0.6,0.8,0.38,1
7.67,0.5,0.21,0.9,0.28,0.9,0.34,0.89,0.4,0.8,0.67,1
6.89,0.7,0.36,0.8,0.38,0.2,0.29,0.35,0.8,0.9,0.45,1
5.98,0.9,0.39,0.8,0.67,0.5,0.21,0.36,3,0.4,0.89,1
7.38,0.5,0.48,0.9,0.45,0.7,0.36,0.38,3,0.6,0.35,1
3.48,0.4,0.38,0.4,0.89,0.9,0.39,0.28,0.9,0.6,0.29,1
4.78,0.2,0.21,0.6,0.35,0.5,0.48,0.38,0.2,0.4,0.21,1
9.6,0.1,0.29,0.6,0.29,0.4,0.38,0.67,0.5,0.9,0.28,1
7.58,0.9,0.28,0.4,0.21,0.2,0.21,0.45,0.7,0.8,0.38,1
7.35,0.8,0.38,0.9,0.28,0.9,0.34,0.89,0.9,0.8,0.67,1
7.67,0.8,0.67,0.8,0.38,0.2,0.29,0.35,0.5,0.9,0.45,1
7.92,0.9,0.45,0.8,0.67,0.5,0.21,0.28,0.9,0.4,0.89,1
7.02,0.4,0.89,0.9,0.45,0.7,0.36,0.38,0.2,0.6,0.35,1
9,0.7,0.36,0.4,0.89,0.9,0.39,0.67,0.5,0.6,0.29,1
6.89,0.9,0.39,0.6,0.35,0.5,0.48,0.45,0.7,0.4,0.21,1
5.98,0.5,0.48,0.9,0.45,0.7,0.36,0.89,0.9,0.9,0.45,1
7.38,0.4,0.38,0.4,0.89,0.9,0.39,0.35,0.5,0.4,0.89,1
3.48,0.2,0.21,0.6,0.35,0.5,0.48,0.29,0.4,0.6,0.35,1
4.78,0.1,0.29,0.9,0.28,0.9,0.34,NA,NA,0.9,0.28,1
